Year,Date,Elevation,Time,Sex,SVL,Tbody,Gravid,Tsurface,Tair
2020,2020/6/29,3400m,11,F,4.4,35,NO,49.3,20.3
2020,2020/6/29,3400m,11,F,5.6,37.5,NO,41.2,18.3
2020,2020/6/29,3400m,11,F,5.8,33.3,NO,41.7,21.8
2020,2020/6/29,3400m,11,F,6,36.8,NO,47.4,21.1
2020,2020/6/29,3400m,11,M,3.6,33.5,NO,44,25.2
2020,2020/6/29,3400m,11,M,5.4,38.9,NO,51.5,26.2
2020,2020/6/29,3400m,11,M,4.8,32.7,NO,34.5,19.1
2020,2020/6/29,3400m,11,F,5.1,39.1,NO,46.9,23
2021,2021/8/15,3400m,11,M,5,36.7,NO,40.2,22.6
2021,2021/8/15,3400m,11,F,5.3,37.1,NO,45.2,26.3
2021,2021/8/16,3400m,11,M,5.2,35.9,NO,29.9,20.5
2021,2021/8/16,3400m,11,M,5.6,39.7,NO,39,24.5
2021,2021/8/16,3400m,11,M,5.8,40.6,NO,40.8,27.3
2021,2021/8/16,3400m,11,M,5.2,38.2,NO,39.6,27.2
2021,2021/8/16,3400m,11,F,5.8,36.7,NO,43.1,30.6
2021,2021/8/16,3400m,11,M,5.3,36.8,NO,35.9,25.6
2021,2021/8/15,3400m,11,F,6,35.9,NO,36.1,21.2
2021,2021/8/16,3400m,11,F,4.6,35.1,NO,44.3,22.6
2021,2021/8/16,3400m,11,F,3.9,37.3,NO,38.6,24.7
2021,2021/8/20,3400m,11,M,5.3,37.1,NO,34.6,20.6
